Latitude ( ° ),Longitude ( ° ),Optimal Tilt   ( ° ),Optimal  Azimuth ( ° ),Horizontal Radiation(KW-hr/m^2/Year),Fixed Tilt Radiation    (KW-hr/m^2/Year),Fixed Energy          (KW-hr/m^2/Year),Monthly Tilt Radiation         (KW-hr/m^2/Year),Monthly Energy (KW-hr/m^2/Year),Fixed vs Monthly Energy % Difference,Horizontal Vs Tilt % diff
28.75,66.75,30.00,0.00,1996.55,2188.46,359.23,2311.47,379.34,5.30,8.77
28.75,67.25,30.00,0.00,1883.40,2056.69,330.56,2168.30,348.43,5.13,8.43
28.75,67.75,30.00,0.00,1883.40,2056.69,325.23,2168.30,342.80,5.13,8.43
28.75,68.25,29.00,0.00,1883.40,2045.99,322.34,2156.39,339.68,5.10,7.95
28.75,68.75,29.00,0.00,1883.40,2045.99,323.18,2156.39,340.57,5.11,7.95
28.75,69.25,29.00,0.00,1912.60,2069.23,327.44,2181.28,345.14,5.13,7.57
28.75,69.75,29.00,0.00,1912.60,2069.23,326.82,2181.28,344.48,5.13,7.57
28.75,70.25,29.00,0.00,1894.35,2050.08,323.06,2158.86,340.18,5.03,7.60
28.75,70.75,29.00,0.00,1894.35,2050.08,322.85,2158.86,339.95,5.03,7.60
28.75,71.25,29.00,0.00,1828.65,1978.71,311.90,2080.79,327.96,4.90,7.58
28.75,71.75,29.00,0.00,1828.65,1978.71,312.00,2080.79,328.06,4.90,7.58
28.75,72.25,29.00,0.00,1825.00,1972.84,311.16,2074.00,327.10,4.87,7.49
29.25,61.75,29.00,0.00,1934.50,2102.68,339.00,2215.52,357.14,5.08,8.00
29.25,62.25,29.00,0.00,1952.75,2119.18,341.40,2232.34,359.59,5.06,7.85
29.25,62.75,29.00,0.00,1952.75,2119.18,342.10,2232.34,360.32,5.06,7.85
29.25,63.25,30.00,0.00,2014.80,2192.45,354.39,2311.87,373.63,5.15,8.10
29.25,63.75,30.00,0.00,2014.80,2192.45,354.92,2311.87,374.19,5.15,8.10
29.25,64.25,30.00,0.00,1996.55,2186.80,353.90,2307.82,373.41,5.22,8.70
29.25,64.75,30.00,0.00,1996.55,2186.80,353.28,2307.82,372.76,5.22,8.70
29.25,65.25,30.00,0.00,2003.85,2172.23,350.40,2288.83,369.15,5.08,7.75
29.25,65.75,30.00,0.00,2003.85,2172.23,352.13,2288.83,370.97,5.08,7.75
29.25,66.25,30.00,0.00,2014.80,2198.48,361.02,2320.06,380.91,5.22,8.35
29.25,66.75,30.00,0.00,2014.80,2198.48,362.07,2320.06,382.02,5.22,8.35
29.25,67.25,30.00,0.00,1908.95,2080.15,335.95,2192.46,354.02,5.10,8.23
29.25,67.75,30.00,0.00,1908.95,2080.15,330.22,2192.46,347.99,5.10,8.23
29.25,68.25,30.00,0.00,1952.75,2118.72,335.22,2232.28,353.15,5.08,7.83
29.25,68.75,30.00,0.00,1952.75,2118.72,337.99,2232.28,356.07,5.08,7.83
29.25,69.25,30.00,0.00,1898.00,2064.09,330.08,2173.93,347.60,5.04,8.05
29.25,69.75,30.00,0.00,1898.00,2064.09,328.34,2173.93,345.77,5.04,8.05
29.25,70.25,30.00,0.00,1832.30,1994.81,315.53,2100.53,332.21,5.02,8.15
29.25,70.75,30.00,0.00,1832.30,1994.81,314.44,2100.53,331.06,5.02,8.15
29.25,71.25,30.00,0.00,1872.45,2041.23,322.06,2149.27,339.06,5.01,8.27
29.25,71.75,30.00,0.00,1872.45,2041.23,322.16,2149.27,339.16,5.01,8.27
29.25,72.25,29.00,0.00,1795.80,1953.19,308.43,2053.36,324.21,4.87,8.06
29.25,72.75,29.00,0.00,1795.80,1953.19,308.59,2053.36,324.37,4.87,8.06
29.75,66.25,31.00,0.00,2014.80,2208.91,361.11,2329.85,380.79,5.17,8.79
29.75,66.75,31.00,0.00,2014.80,2208.91,364.02,2329.85,383.86,5.17,8.79
29.75,67.25,31.00,0.00,1908.95,2089.67,340.41,2201.54,358.56,5.06,8.65
29.75,67.75,31.00,0.00,1908.95,2089.67,336.19,2201.54,354.12,5.06,8.65
29.75,68.25,31.00,0.00,1952.75,2128.34,341.18,2241.31,359.24,5.03,8.25
29.75,68.75,31.00,0.00,1952.75,2128.34,343.26,2241.31,361.43,5.03,8.25
29.75,69.25,31.00,0.00,1898.00,2073.43,335.05,2182.80,352.68,5.00,8.46
29.75,69.75,31.00,0.00,1898.00,2073.43,333.13,2182.80,350.65,5.00,8.46
